Index,SMILES,ST Gap,HL Gap,S1,T1
131,Cn1ccc2c(-c3ccc(C(=O)C(F)(F)F)cc3)cccc21,0.5725,3.461562194,3.0563,2.4838
132,Cn1ccc2c(-c3cccc4cc5ccccc5cc34)cccc21,1.2887,3.43543925,3.0544,1.7657
133,Cn1ccc2c(-c3cccc4c3cnc3ccccc34)cccc21,0.7994,4.075179264,3.5185,2.7191
134,Fc1cc(-c2cccnc2)cc(F)c1F,1.3425,5.249351174,4.6404,3.2979
135,Fc1cc(-c2cccc3sccc23)cc(F)c1F,1.3244,4.754920036,4.2941,2.9697
136,Fc1cc(-c2cccc3scnc23)cc(F)c1F,1.2709,4.736688398,4.2728,3.0019
137,O=[SH](=O)c1cccc(-c2cc(F)c(F)c(F)c2)c1,1.416,5.117375884,4.6538,3.2378
138,Fc1cc(-c2c(F)c(F)cc(F)c2F)cc(F)c1F,1.416,5.224044572,4.7052,3.2892
139,N#Cc1cc(C#N)c(-c2cc(F)c(F)c(F)c2)c(C#N)c1,1.0194,4.459676346,3.9434,2.924
140,CS(=O)(=O)c1ccc(-c2cc(F)c(F)c(F)c2)cc1,1.4821,5.039007052,4.6864,3.2043
141,Fc1cc(-c2ccc3c(c2)oc2ccccc23)cc(F)c1F,1.2657,4.532602898,4.1993,2.9336
142,Fc1cc(-c2ccc3c(c2)-c2cccnc2[SiH2:2]3)cc(F)c1F,1.2268,4.653421514,4.1023,2.8755
143,O=[SH](=O)c1cc2ccccc2s1,1.4114,4.81369666,4.3609,2.9495
144,c1ccc2sc(-c3nnn[nH]3)cc2c1,1.5045,4.433825516,4.1313,2.6268
145,c1ccc2sc(-c3ncns3)cc2c1,1.3747,4.00279694,3.7156,2.3409
146,CC(=O)c1ccc(-c2cc3ccccc3s2)cc1,1.1244,3.934224212,3.5789,2.4545
147,c1cnc2ncc(-c3cc4ccccc4s3)cc2c1,1.0054,3.88170621,3.4595,2.4541
148,N#Cc1ccc(-c2cc3ccccc3s2)c(C#N)c1C#N,0.8737,3.616122946,3.1869,2.3132
149,c1ccc2sc(-c3ccc(-c4ccncc4)cc3)cc2c1,1.2188,4.060757222,3.7488,2.53
150,c1ccc2sc(-c3ccc(-c4cnccn4)cc3)cc2c1,1.1015,3.829732436,3.5249,2.4234
151,c1ccc2sc(-c3ccc4c(c3)oc3ccccc34)cc2c1,1.2141,4.038988102,3.7424,2.5283
152,c1ccc2sc(-c3ccc4c(c3)oc3ncccc34)cc2c1,1.1534,3.939394378,3.645,2.4916
153,c1ccc2sc(-c3cncc4c3[nH]c3ccncc34)cc2c1,1.2257,4.354640342,3.9459,2.7202
154,c1ccc2sc(-c3cnc4oc5ncccc5c4c3)cc2c1,0.8938,4.120622302,3.6085,2.7147
155,c1cnc2c(c1)[SiH2:2]c1ccc(-c3cc4ccccc4s3)cc1-2,1.1727,4.085247482,3.7165,2.5438
156,c1ccc2sc(-c3cnco3)nc2c1,1.5304,4.342123098,4.109,2.5786
157,O=Cc1ccc(-c2nc3ccccc3s2)cc1,0.9523,3.976673996,3.4552,2.5029
158,c1ccc2sc(-c3nccc4[nH]ccc34)nc2c1,1.0897,3.995721976,3.6115,2.5218
159,c1ccc2sc(-c3nc4nc5ncoc5nc4o3)nc2c1,1.0571,3.784289398,3.4859,2.4288
160,c1ccc2sc(-c3ccc4c(c3)oc3ncccc34)nc2c1,1.1372,3.961435612,3.6613,2.5241
161,c1cnc2c(c1)[SiH2:2]c1ccc(-c3nc4ccccc4s3)cc1-2,1.2244,4.181303724,3.8216,2.5972
162,O=c1cc[nH]c2c(-c3ccnnc3)cccc12,0.759,4.06402259,3.453,2.694
163,O=c1cc[nH]c2c(-c3ccc(-c4ncccn4)cc3)cccc12,0.5482,3.844698706,3.3782,2.83
164,O=c1cc[nH]c2c(-c3c4ccoc4cc4ccoc34)cccc12,0.95,4.267291748,3.6726,2.7226
165,O=c1cc[nH]c2c(-c3nc4nc5ncoc5nc4o3)cccc12,0.5017,3.315981204,2.8684,2.3667
166,O=c1cc[nH]c2c(-c3cnc4oc5ncccc5c4c3)cccc12,0.3944,3.848780416,3.3567,2.9623
167,O=c1cc[nH]c2c(-c3cccc4c3cnc3ccccc34)cccc12,0.7214,4.041981356,3.4911,2.7697
168,O=c1cc[nH]c2c(-c3ccc4c(c3)-c3cnccc3[SiH2:2]4)cccc12,0.6017,3.950551052,3.4751,2.8734
169,O=c1cc[nH]c2c(-c3ccc4sc5ncccc5c4c3)cccc12,0.6592,4.094771472,3.6179,2.9587
170,N#Cc1ccc(-c2ccccn2)nc1,1.1023,4.625393772,3.9895,2.8872
171,c1ccc(-c2ccc(-c3ccnnc3)cn2)nc1,0.6793,4.252325478,3.3229,2.6436
172,N#Cc1ccc(-c2ccc(-c3ccccn3)nc2)cc1,1.1965,4.317360724,3.9728,2.7763
173,O=Cc1ccc(-c2ccc(-c3ccccn3)nc2)cc1,0.8623,4.168242252,3.5808,2.7185
174,O=C1NC(=O)c2c1cccc2-c1ccc(-c2ccccn2)nc1,0.5619,3.951367394,3.4165,2.8546
175,c1ccc(-c2ccc(-c3c[nH]c4nc5occc5nc34)cn2)nc1,0.8255,3.78374517,3.2657,2.4402
176,c1ccc(-c2ccc(-c3ccc4c(c3)[nH]c3ccccc34)cn2)nc1,0.8945,4.070009098,3.6245,2.73
177,c1ccc(-c2ccc(-c3ccc4c(c3)[nH]c3ccncc34)cn2)nc1,1.022,4.158446148,3.7777,2.7557
178,c1ccc(-c2ccc(-c3cnc4oc5ncccc5c4c3)cn2)nc1,1.0514,4.44226105,3.949,2.8976
179,c1ccc(-c2ccc(-c3cnc4c(c3)-c3cccnc3[SiH2:2]4)cn2)nc1,1.0716,4.326340486,3.8458,2.7742
180,O=[SH](=O)n1ccc2cc3ccoc3cc21,1.5336,4.933971048,4.4842,2.9506
181,c1nnc(-n2ccc3cc4ccoc4cc32)o1,1.3551,4.782947778,4.2721,2.917
182,CS(=O)(=O)c1ccc(-n2ccc3cc4ccoc4cc32)cc1,0.762,4.126880924,3.6118,2.8498
183,c1cc2cc3ccn(-c4c5ccoc5cc5ccoc45)c3cc2o1,0.7523,3.998987344,3.4612,2.7089
184,c1nc2c(-n3ccc4cc5ccoc5cc43)c3nc[nH]c3cc2[nH]1,0.5781,3.774493294,3.2542,2.6761
